round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
5,log_likelihood,999,0.27423254153637805,13879.442,"[0.06448361 0.76420526 0.07734634 0.05393566 0.76420526 0.18225464
 0.05522437 0.05492873]",0.1988438657839884,17792.84,"[0.04965882 0.97967782 0.05266456 0.07244384 0.12799025 0.06827468
 0.06310122 0.04839794]"
6,log_likelihood,999,0.6735248212201177,12351.152,"[0.19240032 0.68005726 0.68005726 0.68005726 0.68005726 0.68005726
 0.68005726 0.68005726]",0.595658322442418,17044.17,"[0.06562133 0.77881315 0.93845588 0.70853098 0.28774475 0.87984592
 0.59786983 0.1233239 ]"
7,log_likelihood,999,0.6453199177451859,11676.402,"[0.64290537 0.64290537 0.64290537 0.64290537 0.64290537 0.24505764
 0.64290537 0.64290537]",0.6409830348509694,18161.93,"[1.         0.54163847 0.23294606 0.13665012 0.84615402 0.13874627
 0.91350809 0.90386044]"
8,log_likelihood,999,0.4353703888400484,11747.539,"[0.64682217 0.64682217 0.2858506  0.09073952 0.19190319 0.04573768
 0.64682217 0.64682217]",0.3184771373438978,10354.6,"[0.5681753  0.21029924 0.19447052 0.06369312 0.20021165 0.04941435
 0.48554807 0.57012663]"
9,log_likelihood,999,0.36917506336128736,11152.828,"[0.0772162  0.61407726 0.61407726 0.61407726 0.61407726 0.05300165
 0.0510058  0.0772162 ]",0.30986067015998603,16893.76,"[0.06848116 0.82131359 0.11300891 0.13495867 0.93017427 0.06053376
 0.04391384 0.10619301]"
10,log_likelihood,999,0.2048373049646102,10845.52,"[0.04757579 0.16115254 0.19692863 0.59715677 0.19692863 0.1963015
 0.04970474 0.0605336 ]",0.15581259506963502,5574.4,"[0.04262708 0.10890087 0.21187231 0.26836025 0.30692773 0.10600801
 0.04993522 0.05114489]"
11,log_likelihood,999,0.277398495344261,10632.25,"[0.1946721  0.13502639 0.58541411 0.58541411 0.14571037 0.24016078
 0.10600753 0.0474595 ]",0.29393798509698676,12773.58,"[0.24130585 0.15963447 0.55474225 0.70331622 0.04450518 0.30373534
 0.10800449 0.04624509]"
12,log_likelihood,999,0.3269135694952069,10685.06,"[0.58832181 0.20633042 0.05583935 0.58832181 0.04981983 0.06762168
 0.58832181 0.25940002]",0.15363595941666944,6676.65,"[0.10332217 0.12779809 0.06201654 0.28451437 0.05828455 0.0610238
 0.06519296 0.36761787]"
13,log_likelihood,999,0.2107621931318108,9963.019,"[0.14322958 0.54856607 0.54856607 0.08227643 0.06432248 0.06432248
 0.04592629 0.05264172]",0.141379336783684,6758.27,"[0.18825808 0.37211188 0.18968579 0.06035152 0.06037519 0.06156835
 0.05071322 0.05657659]"
14,log_likelihood,999,0.25541026115315,9685.229,"[0.10700567 0.29547232 0.53327089 0.53327089 0.10700567 0.05362544
 0.05789833 0.19062399]",0.29627492955397705,15947.53,"[0.10431766 0.2330738  0.72193979 0.87807463 0.06975745 0.05673461
 0.04998753 0.06478827]"
15,log_likelihood,999,0.3175734441944463,9947.094,"[0.54768925 0.0445068  0.07789134 0.04712294 0.54768925 0.26135232
 0.26135232 0.54768925]",0.20445692019487804,15566.93,"[0.19865345 0.04917759 0.05399481 0.04137611 0.11328311 0.06304947
 0.12683178 0.85711871]"
