"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation
0,0,959.53,0,0,0,1,0,3,4,2,1,3,2,3,4,1,1,1,1,1,1,1
441.94,9413.7,704.06,8224.3,2,2,2,2,3,2,3,1,3,2,3,4,1,1,1,1,1,1,1
959.53,4233.4,1031.2,2742.6,1,1,1,1,3,2,2,1,1,3,4,4,1,1,1,1,1,1,1
668.88,50997,619.32,21942,2,2,2,2,2,1,2,1,1,1,2,5,1,1,1,1,1,1,1
0,0,68243,0,0,0,1,0,2,1,1,1,4,1,1,2,2,1,1,1,1,1,1
330.41,0,1264,959.53,5,0,5,5,3,2,2,1,1,1,2,1,3,1,1,1,1,1,1
413.46,709.62,1113.3,1987.2,2,2,2,2,2,3,4,1,1,1,1,1,1,2,1,1,1,1,1
8188,0,8092,17274,2,0,2,3,2,4,4,1,1,1,1,1,1,2,1,1,1,1,1
1487.4,1474.8,34272,1.80E+05,1,1,1,1,3,4,3,1,2,2,1,2,1,2,1,1,1,1,1
417.95,558.9,966.53,2413.1,3,3,3,3,3,2,4,1,1,2,1,3,1,2,1,1,1,1,1
522.47,0,0,0,1,0,0,0,2,4,4,1,1,2,1,3,1,2,1,1,1,1,1
18416,21361,3281.2,1.33E+05,1,1,1,1,2,4,1,1,4,1,2,3,1,2,1,1,1,1,1
8092,8092,0,0,3,3,0,0,2,1,1,1,6,1,1,1,1,3,1,1,1,1,1
6166.2,31690,1.98E+05,1.92E+05,6,6,4,4,2,2,1,1,6,1,1,1,1,3,1,1,1,1,1
830.39,11043,2433.2,11079,9,9,9,9,3,2,1,1,6,1,1,1,1,3,1,1,1,1,1
1168.4,1239.4,3777.9,68243,5,4,4,4,3,3,1,1,6,1,1,1,1,3,1,1,1,1,1
8092,68243,1.98E+05,1.92E+05,1,1,1,1,2,4,1,1,6,1,1,1,1,3,1,1,1,1,1
1730.9,2237.2,1289,2152.1,16,16,19,10,3,4,1,1,6,1,1,1,1,3,1,1,1,1,1
352.02,946.66,549.01,649.2,8,11,9,9,1,1,2,1,6,1,1,1,1,3,1,1,1,1,1
849.04,343.6,632.45,606.42,16,11,14,14,1,2,2,1,6,1,1,1,1,3,1,1,1,1,1
0,2786.5,330.41,2786.5,0,1,1,5,2,3,2,1,6,1,1,1,1,3,1,1,1,1,1
299.58,534.43,465.22,2564.8,11,10,17,20,3,3,2,1,6,1,1,1,1,3,1,1,1,1,1
959.53,959.53,0,0,2,2,0,0,3,1,2,3,1,2,2,1,1,3,1,1,1,1,1
330.41,0,1910.2,506.63,1,0,1,1,3,4,1,1,6,2,2,1,1,3,1,1,1,1,1
2786.5,0,0,0,4,0,0,0,3,2,1,1,3,2,4,1,1,3,1,1,1,1,1
1093.1,801.33,776.08,885.52,1,1,1,1,2,4,1,1,3,2,4,1,1,3,1,1,1,1,1
343.11,959.53,0,1523.9,1,1,0,1,1,2,2,1,3,2,4,1,1,3,1,1,1,1,1
1414,8092,900.9,113.78,7,2,4,4,3,2,2,1,3,2,4,1,1,3,1,1,1,1,1
593.17,3165.3,864.74,7610.6,5,6,12,7,3,3,2,1,3,2,4,1,1,3,1,1,1,1,1
660.16,23499,872.42,0,4,4,4,0,3,4,2,1,3,2,4,1,1,3,1,1,1,1,1
660.16,23499,872.42,0,1,1,1,0,3,4,3,1,3,2,4,1,1,3,1,1,1,1,1
0,0,959.53,0,0,0,1,0,3,3,2,2,3,2,4,1,1,3,1,1,1,1,1
1.98E+05,0,1.98E+05,0,1,0,1,0,2,4,1,1,2,4,4,1,1,3,1,1,1,1,1
0,0,13384,0,0,0,2,0,2,2,2,1,2,4,4,1,1,3,1,1,1,1,1
0,959.53,482.18,532.37,0,1,1,1,3,3,2,1,2,4,4,1,1,3,1,1,1,1,1
0,959.53,959.53,2786.5,0,1,1,1,3,2,2,1,6,1,1,2,1,3,1,1,1,1,1
0,0,0,2786.5,0,0,0,1,2,3,2,1,6,1,1,2,1,3,1,1,1,1,1
385,586.48,405.11,1854.5,2,2,5,5,3,3,2,1,6,1,1,2,1,3,1,1,1,1,1
13943,4885.9,3882.1,8235.3,2,2,3,3,2,1,1,1,6,4,1,2,1,3,1,1,1,1,1
10790,6061.1,11185,1.47E+05,2,2,2,2,2,2,1,1,6,4,1,2,1,3,1,1,1,1,1
2854.9,3837.8,3572.8,8709.6,1,2,1,2,3,2,1,1,6,4,1,2,1,3,1,1,1,1,1
1600.3,2914.2,2786.5,0,1,1,1,0,3,3,1,1,6,4,1,2,1,3,1,1,1,1,1
10790,6061.1,11185,1.47E+05,1,1,1,1,2,4,1,1,6,4,1,2,1,3,1,1,1,1,1
848.67,1037.8,1710.8,7444.4,3,6,3,4,1,1,2,1,6,4,1,2,1,3,1,1,1,1,1
0,8092,0,0,0,1,0,0,1,2,2,1,6,4,1,2,1,3,1,1,1,1,1
831.97,365.65,2786.5,1.15E+05,3,3,2,9,3,3,2,1,6,4,1,2,1,3,1,1,1,1,1
959.53,0,0,0,1,0,0,0,2,2,1,1,6,2,2,2,1,3,1,1,1,1,1
959.53,0,0,0,1,0,0,0,2,4,1,1,6,2,2,2,1,3,1,1,1,1,1
1093.1,801.33,776.08,885.52,1,1,1,1,2,4,1,1,3,2,4,2,1,3,1,1,1,1,1
340.08,6817.5,867.78,7691.3,1,1,2,1,3,3,2,1,3,2,4,2,1,3,1,1,1,1,1
0,68243,0,0,0,1,0,0,2,4,1,1,1,3,4,2,1,3,1,1,1,1,1
469.44,229.36,437.3,728.56,1,1,1,1,3,2,2,1,3,4,4,2,1,3,1,1,1,1,1
959.53,0,0,0,1,0,0,0,2,2,1,1,6,4,1,3,1,3,1,1,1,1,1
1590.5,1023.6,2184.8,5515.9,8,8,8,8,3,4,1,1,6,4,1,3,1,3,1,1,1,1,1
0,0,330.41,0,0,0,1,0,1,1,2,1,6,4,1,3,1,3,1,1,1,1,1
959.53,0,2786.5,8092,2,0,2,2,3,1,2,1,6,4,1,3,1,3,1,1,1,1,1
605.24,774.3,6262.9,820.05,1,1,1,1,1,2,2,1,6,4,1,3,1,3,1,1,1,1,1
959.53,1665.9,330.41,8092,5,5,5,5,3,3,2,1,6,4,1,3,1,3,1,1,1,1,1
959.53,1665.9,330.41,8092,1,1,1,1,3,3,3,1,6,4,1,3,1,3,1,1,1,1,1
0,0,330.41,330.41,0,0,2,2,2,3,2,3,1,2,1,4,1,3,1,1,1,1,1
0,68243,123.99,68243,0,2,2,2,3,2,1,1,1,3,4,4,1,3,1,1,1,1,1
335.1,65890,67553,504.12,1,4,4,1,2,4,1,1,1,3,4,4,1,3,1,1,1,1,1
959.53,0,0,0,2,0,0,0,1,2,2,1,1,3,4,4,1,3,1,1,1,1,1
2786.5,2786.5,0,0,2,2,0,0,3,2,2,1,1,3,4,4,1,3,1,1,1,1,1
957.19,1680,474.74,4836.4,3,5,6,10,3,3,2,1,1,3,4,4,1,3,1,1,1,1,1
0,0,113.78,0,0,0,9,0,2,4,1,1,3,4,4,4,1,3,1,1,1,1,1
429.95,403.36,410.2,602.26,2,2,2,2,1,2,2,1,3,4,4,4,1,3,1,1,1,1,1
886.67,229.36,437.3,728.56,5,3,3,3,3,2,2,1,3,4,4,4,1,3,1,1,1,1,1
0,0,6066.2,0,0,0,7,0,3,3,2,1,3,4,4,4,1,3,1,1,1,1,1
0,0,0,2786.5,0,0,0,1,2,4,1,1,1,4,1,5,1,3,1,1,1,1,1
1.98E+05,1.98E+05,1.98E+05,0,1,1,1,0,3,2,2,1,5,1,2,5,1,3,1,1,1,1,1
9948.1,50947,9275.8,66368,9,10,9,10,1,2,1,1,2,1,1,2,1,4,1,1,1,1,1
11370,66040,27203,72156,3,2,3,3,1,4,1,1,2,1,1,2,1,4,1,1,1,1,1
967.27,998.51,964.68,2767.7,10,10,8,6,1,1,2,1,2,1,1,2,1,4,1,1,1,1,1
8599.6,37858,81242,1.08E+05,5,6,5,6,2,1,1,1,3,3,1,2,1,4,1,1,1,1,1
7373.5,10763,54701,96175,40,30,38,31,3,1,1,1,3,3,1,2,1,4,1,1,1,1,1
4824.5,9137.3,6903.5,23099,17,20,21,23,1,2,1,1,3,3,1,2,1,4,1,1,1,1,1
